BJT Ic / Vce
Type:	BJT Ic / Vce
Trace:	Ib=35.0µA		Ib=28.0µA		Ib=21.0µA		Ib=14.0µA		Ib=7.0µA	
Tag:	Ib=35.0µA		Ib=28.0µA		Ib=21.0µA		Ib=14.0µA		Ib=7.0µA	
Colour:	Red		DarkRed		Green		Lime		Blue	
Point	Vce	Ic (mA)	Vce	Ic (mA)	Vce	Ic (mA)	Vce	Ic (mA)	Vce	Ic (mA)
0	0.00109481811523438	0	0.000912666320800781	0	-0.000639915466308594	0	-0.00209712982177734	0	-0.00720596313476563	0
1	0.0238094329833984	0.297266334295273	0.0266342163085938	0.292385816574097	0.0328378677368164	0.284089416265488	0.0437850952148438	0.268143087625504	0.0596561431884766	0.244226977229118
2	0.0352096557617188	0.644649505615234	0.0421409606933594	0.634886741638184	0.0489826202392578	0.625938832759857	0.0622110366821289	0.608527839183807	0.0887527465820313	0.565086185932159
3	0.0468854904174805	0.991381108760834	0.0520830154418945	0.984059453010559	0.0619354248046875	0.971534073352814	0.0769872665405273	0.949892401695251	0.113199234008789	0.89733612537384
4	0.0550966262817383	1.34771049022675	0.0623922348022461	1.33437025547028	0.0734291076660156	1.32070171833038	0.0911264419555664	1.29369127750397	0.141659736633301	1.21852028369904
5	0.0648565292358398	1.69899594783783	0.0725164413452148	1.68891167640686	0.0847406387329102	1.67329025268555	0.105082511901855	1.63619387149811	0.18653678894043	1.5107444524765
6	0.0716972351074219	2.0567934513092	0.0815486907958984	2.043288230896	0.0938615798950195	2.02441596984863	0.118946075439453	1.98747944831848	0.352094650268555	1.63456416130066
7	0.0789031982421875	2.40759253501892	0.0871133804321289	2.39311075210571	0.102527618408203	2.36951446533203	0.132811546325684	2.3252580165863	0.569555282592773	1.66889798641205
8	0.0828256607055664	2.76262044906616	0.0943183898925781	2.74716567993164	0.11119270324707	2.71673941612244	0.153334617614746	2.65490865707397	0.794677734375	1.67914724349976
9	0.0875673294067383	3.11211466789246	0.0996999740600586	3.09552192687988	0.121133804321289	3.06574535369873	0.181428909301758	2.97804737091064	1.02636909484863	1.69086122512817
10	0.0955944061279297	3.4734947681427	0.106631278991699	3.45152640342712	0.130439758300781	3.41931223869324	0.260880470275879	3.2182035446167	1.26353073120117	1.71201300621033
11	0.100520133972168	3.82689309120178	0.115480422973633	3.80264854431152	0.143756866455078	3.76197457313538	0.458544731140137	3.27238607406616	1.49084186553955	1.72307884693146
12	0.107088088989258	4.17411470413208	0.12241268157959	4.15101003646851	0.160175323486328	4.09487438201904	0.657397270202637	3.32070827484131	1.71934032440186	1.74292922019958
13	0.113564491271973	4.52621650695801	0.131898880004883	4.49725008010864	0.188453674316406	4.41752481460571	0.871665000915527	3.35650491714478	1.93707275390625	1.74455714225769
14	0.118579864501953	4.87864017486572	0.144577026367188	4.84267997741699	0.23552131652832	4.69982481002808	1.09432411193848	3.3861198425293	2.1648416519165	1.76359272003174
15	0.128706932067871	5.22797298431396	0.155342102050781	5.18941164016724	0.381101608276367	4.83861446380615	1.31278800964355	3.4181706905365	2.39780807495117	1.77026629447937
16	0.135547637939453	5.57535600662231	0.169116020202637	5.52117538452148	0.572929382324219	4.89914035797119	1.52732944488525	3.45120310783386	2.63314723968506	1.79646193981171
17	0.142478942871094	5.92322540283203	0.189182281494141	5.85016918182373	0.777346611022949	4.95429944992065	1.74506378173828	3.47007703781128	2.8703088760376	1.80215549468994
18	0.153973579406738	6.27727699279785	0.234243392944336	6.15134477615356	0.989424705505371	5.00620079040527	1.96124649047852	3.51026439666748	3.10974979400635	1.81875169277191
19	0.166288375854492	6.61864185333252	0.351914405822754	6.32495307922363	1.19110488891602	5.02247285842896	2.19229602813721	3.53011655807495	3.34135150909424	1.83437311649323
20	0.181248664855957	6.9471492767334	0.526043891906738	6.41899681091309	1.39360523223877	5.08560419082642	2.40820693969727	3.53581190109253	3.57668876647949	1.84901642799377
21	0.203961372375488	7.27240324020386	0.707658767700195	6.49042701721191	1.59920883178711	5.13392972946167	2.63825416564941	3.58527374267578	3.82042121887207	1.8329085111618
22	0.245645523071289	7.56869220733643	0.905689239501953	6.54851198196411	1.8138370513916	5.1726541519165	2.87432289123535	3.60219407081604	4.03660202026367	1.85145747661591
23	0.349177360534668	7.76491785049438	1.10691261291504	6.61034297943115	2.01269149780273	5.22455787658691	3.0916919708252	3.61862778663635	4.25980949401855	1.86463534832001
24	0.522031784057617	7.86986875534058	1.29463481903076	6.66696548461914	2.23334407806396	5.23578500747681	3.32730388641357	3.65849113464355	4.49441909790039	1.88757491111755
25	0.697713851928711	7.94991493225098	1.49631500244141	6.70975637435913	2.45919513702393	5.27808713912964	3.55424976348877	3.68745350837708	4.74343824386597	1.92206954956055
26	0.870388031005859	8.04185009002686	1.70118808746338	6.75792026519775	2.70037174224854	5.32576084136963	3.78393363952637	3.70161032676697	4.9603533744812	1.92630100250244
27	1.06422138214111	8.10937213897705	1.90934371948242	6.81584453582764	2.91691970825195	5.3596076965332	4.0069580078125	3.72764253616333	5.20964622497559	1.93622541427612
28	1.24464893341064	8.1692476272583	2.12853622436523	6.8636794090271	3.14459609985352	5.39393711090088	4.24284362792969	3.75123381614685	5.44735622406006	1.94387364387512
29	1.4365701675415	8.24734973907471	2.32164096832275	6.92355632781982	3.35603618621826	5.41899442672729	4.46951627731323	3.77612972259521	5.66937685012817	1.95217263698578
30	1.63487339019775	8.30673885345459	2.55260181427002	6.97366905212402	3.58033752441406	5.48179769515991	4.68779754638672	3.81696939468384	5.90444231033325	1.96112048625946
31	1.81557273864746	8.36726379394531	2.77799701690674	7.00930309295654	3.79642963409424	5.51450347900391	4.91547346115112	3.82852172851563	6.14133167266846	1.9860155582428
32	2.02537155151367	8.42941951751709	3.00412273406982	7.06576251983643	4.00641059875488	5.53240013122559	5.14214658737183	3.83519268035889	6.3638072013855	1.98113417625427
33	2.25386524200439	8.5042667388916	3.20790100097656	7.11034488677979	4.23882961273193	5.56087589263916	5.36115789413452	3.85536885261536	6.60242986679077	1.97039675712585
34	2.46503353118896	8.54624462127686	3.42235088348389	7.17184829711914	4.46367883682251	5.61993837356567	5.58846855163574	3.89555716514587	6.83247804641724	1.99805533885956
35	2.67072677612305	8.61148834228516	3.64628791809082	7.20194959640503	4.68825340270996	5.62156534194946	5.83849334716797	3.91801285743713	7.05878829956055	2.00326251983643
36	2.8887357711792	8.66811084747314	3.84322357177734	7.25596761703491	4.90115213394165	5.67395830154419	6.04309129714966	3.9337944984436	7.30224275588989	2.01579070091248
37	3.09479141235352	8.73530960083008	4.06634044647217	7.30038785934448	5.11386871337891	5.70926523208618	6.26337957382202	3.9580385684967	7.53475379943848	2.04442715644836
38	3.30322265625	8.79811668395996	4.27723121643066	7.34806203842163	5.3309645652771	5.74408435821533	6.49306154251099	3.99432015419006	7.75805187225342	2.04979634284973
39	3.52360057830811	8.84595108032227	4.4914984703064	7.40679788589478	5.56657552719116	5.76328372955322	6.72566366195679	4.00798892974854	7.99767923355103	2.05044770240784
40	3.72354793548584	8.89687919616699	4.70056772232056	7.41607189178467	5.7795672416687	5.81681537628174	6.95042276382446	4.04053068161011	8.22252798080444	2.06818318367004
41	3.94547557830811	8.93869400024414	4.91291809082031	7.50100517272949	5.99894189834595	5.85277414321899	7.17481422424316	4.04834079742432	8.44445562362671	2.08217597007751
42	4.1404070854187	9.00996208190918	5.10976457595825	7.52687644958496	6.20627927780151	5.86627721786499	7.38196706771851	4.08153295516968	8.68207406997681	2.07745790481567
43	4.34309053421021	9.07146549224854	5.33926486968994	7.5592565536499	6.42583560943604	5.90711784362793	7.60362195968628	4.09910535812378	8.91048169136047	2.09991097450256
44	4.55161094665527	9.12776184082031	5.55298519134521	7.60188627243042	6.64147138595581	5.94893312454224	7.84087705612183	4.12920570373535	9.13377952575684	2.11715793609619
