BJT Ic / Vce
Type:	BJT Ic / Vce
Trace:	Ib=55.0µA		Ib=44.0µA		Ib=33.0µA		Ib=22.0µA		Ib=11.0µA	
Tag:	Ib=55.0µA		Ib=44.0µA		Ib=33.0µA		Ib=22.0µA		Ib=11.0µA	
Colour:	Red		DarkRed		Green		Lime		Blue	
Point	Vce	Ic (mA)	Vce	Ic (mA)	Vce	Ic (mA)	Vce	Ic (mA)	Vce	Ic (mA)
36	2.04762750864029	9.95985221862793	3.29391843080521	8.13947105407715	4.56228369474411	6.22748851776123	5.89897006750107	4.19152450561523	7.27551728487015	2.09014654159546
37	2.28570252656937	10.0101289749146	3.5285267829895	8.17201519012451	4.81166887283325	6.23025465011597	6.13868606090546	4.20210075378418	7.51195114850998	2.09616923332214
38	2.50699365139008	10.0207033157349	3.74835878610611	8.20699787139893	5.03067952394485	6.24261999130249	6.366270840168	4.20779418945313	7.74364095926285	2.09795880317688
39	2.73786234855652	10.0599184036255	3.9703796505928	8.21773433685303	5.25908619165421	6.24766397476196	6.59942060709	4.2138147354126	7.97998213768005	2.10040163993835
40	2.97630220651627	10.0885524749756	4.21383649110794	8.23433494567871	5.49907672405243	6.27972078323364	6.83849877119064	4.22260093688965	8.21559500694275	2.10056495666504
41	3.19494849443436	10.1262989044189	4.44297224283218	8.22831249237061	5.71744924783707	6.28378582000732	7.0733814239502	4.22910928726196	8.45576673746109	2.11032605171204
42	3.41696912050247	10.1466417312622	4.67794579267502	8.25857353210449	5.96537494659424	6.2810230255127	7.30808180570602	4.23447895050049	8.68918979167938	2.10593199729919
43	3.65020972490311	10.1725101470947	4.89002466201782	8.27110481262207	6.1945104598999	6.30298709869385	7.54031836986542	4.23610496520996	8.92498427629471	2.11081099510193
44	3.8694024682045	10.1964302062988	5.12892013788223	8.28786563873291	6.40595138072968	6.32251167297363	7.77009320259094	4.2431001663208	9.15302616357803	2.11341524124146
45	4.09671461582184	10.2157907485962	5.36024510860443	8.31470966339111	6.65907591581345	6.31844186782837	8.00378918647766	4.25416612625122	9.38882023096085	2.11650633811951
46	4.32065045833588	10.2416639328003	5.58199220895767	8.34757709503174	6.88501936197281	6.33390092849731	8.23675662279129	4.26344060897827	9.63008809089661	2.12317633628845
47	4.55407404899597	10.2533750534058	5.80848282575607	8.35441303253174	7.11068916320801	6.3454532623291	8.46808052062988	4.2645788192749	9.8729972243309	2.12480616569519
48	4.78147625923157	10.2851047515869	6.04263591766357	8.39004230499268	7.34921997785568	6.36904621124268	8.69256556034088	4.28052139282227	10.1182784438133	2.12382960319519
49	5.00814974308014	10.3249683380127	6.26666313409805	8.37328433990479	7.57306581735611	6.37571620941162	8.91841661930084	4.28361415863037	10.3573579788208	2.1259458065033
50	5.22706806659698	10.3324527740479	6.49306333065033	8.40126895904541	7.80147206783295	6.39508152008057	9.14764428138733	4.28296613693237	10.5978943109512	2.13212609291077
