MOSFET Id / Vgs
Type:	MOSFET Id / Vgs
Trace:	Vds=0.10V	
Tag:	Vds=0.10V	
Colour:	Red	
Point	Vgs	Id (mA)
0	-0.00450038909912109	0.00245357188396156
1	0.0969963073730469	0
2	0.19867992401123	0.00310898991301656
3	0.300640106201172	0
4	0.398464202880859	0
5	0.496106147766113	0
6	0.600269317626953	0
7	0.696531295776367	0
8	0.797478675842285	0
9	0.895947456359863	0
10	0.994507789611816	0
11	1.09683322906494	0
12	1.1995267868042	0
13	1.30074977874756	0.00277788494713604
14	1.39618873596191	0
15	1.4976863861084	0
16	1.59376621246338	0
17	1.69618320465088	0.00310559384524822
18	1.80052852630615	0.0119418492540717
19	1.89908981323242	0.0219140481203794
20	1.99627017974854	0.0268194936215878
21	2.09951496124268	0.033686101436615
22	2.20257663726807	0.0423559546470642
23	2.2981071472168	0.0503720864653587
24	2.39767551422119	0.0560959577560425
25	2.49853229522705	0.0631289631128311
26	2.59920501708984	0.0698342621326447
27	2.6989574432373	0.0744136944413185
28	2.79724216461182	0.0825894400477409
29	2.89956760406494	0.0899484604597092
30	2.99904632568359	0.0976351872086525
31	3.09953498840332	0.101723901927471
32	3.19993114471436	0.108264498412609
33	3.30115509033203	0.112517923116684
34	3.39411354064941	0.119878642261028
35	3.49790668487549	0.124456375837326
36	3.59499740600586	0.13165408372879
37	3.69741439819336	0.135904118418694
38	3.79919052124023	0.139829829335213
39	3.89600372314453	0.147681266069412
40	3.99419784545898	0.154544472694397
41	4.09872627258301	0.162888318300247
42	4.19948959350586	0.163047924637794
43	4.29786682128906	0.172534495592117
44	4.39670181274414	0.177769348025322
45	4.49719285964966	0.183656230568886
46	4.59878206253052	0.186111494898796
47	4.6963324546814	0.190037220716476
48	4.79847478866577	0.19510905444622
49	4.89694166183472	0.200992539525032
50	4.99715566635132	0.201647952198982
